2014-10-18,Nevada,42,BYU,35
2014-10-18,San Jose St,27,Wyoming,20
2014-10-18,Idaho,29,New Mexico St,17
2014-10-18,USC,56,Colorado,28
2014-10-18,Arizona St,26,Stanford,10
2014-10-18,UCLA,36,California,34
2014-10-18,Oregon,45,Washington,20
2014-10-18,Ohio St,56,Rutgers,17
2014-10-18,Michigan St,56,Indiana,17
2014-10-18,Colorado St,16,Utah St,13
2014-10-18,Nebraska,38,Northwestern,17
2014-10-18,San Diego St,20,Hawaii,10
2014-10-21,ULL,55,Arkansas St,40
2014-10-23,East Carolina,31,Connecticut,21
2014-10-23,Miami FL,30,Virginia Tech,6
2014-10-24,Cincinnati,34,South Florida,17
2014-10-24,South Alabama,27,Troy,13
2014-10-24,Oregon,59,California,41
2014-10-24,Boise St,55,BYU,30
2014-10-25,Ball St,35,Akron,21
2014-10-25,C Michigan,20,Buffalo,14
2014-10-25,Clemson,16,Syracuse,6
2014-10-25,N Illinois,28,E Michigan,17
2014-10-25,Ga Southern,69,Georgia St,31
2014-10-25,Illinois,28,Minnesota,24
2014-10-25,Mississippi St,45,Kentucky,31
2014-10-25,Marshall,35,FL Atlantic,16
2014-10-25,Miami OH,10,Kent,3
2014-10-25,Michigan St,35,Michigan,11
2014-10-25,Navy,41,San Jose St,31
2014-10-25,Georgia Tech,56,Pittsburgh,28
2014-10-25,Toledo,42,Massachusetts,35
2014-10-25,UCF,34,Temple,14
2014-10-25,North Carolina,28,Virginia,27
2014-10-25,Boston College,23,Wake Forest,17
2014-10-25,W Michigan,42,Ohio,21
2014-10-25,Wisconsin,52,Maryland,7
2014-10-25,Alabama,34,Tennessee,20
2014-10-25,Arkansas,45,UAB,17
2014-10-25,Kansas St,23,Texas,0
2014-10-25,LSU,10,Mississippi,7
2014-10-25,Nebraska,42,Rutgers,24
2014-10-25,West Virginia,34,Oklahoma St,10
2014-10-25,Rice,41,North Texas,21
2014-10-25,Memphis,48,SMU,10
2014-10-25,Louisiana Tech,31,Southern Miss,20
2014-10-25,TCU,82,Texas Tech,27
2014-10-25,UTEP,34,UT San Antonio,0
2014-10-25,WKU,66,Old Dominion,51
2014-10-25,Auburn,42,South Carolina,35
2014-10-25,Missouri,24,Vanderbilt,14
2014-10-25,Colorado St,45,Wyoming,31
2014-10-25,Utah St,34,UNLV,20
2014-10-25,UCLA,40,Colorado,37
2014-10-25,Utah,24,USC,21
2014-10-25,Stanford,38,Oregon St,14
2014-10-25,Arizona,59,Washington St,37
2014-10-25,Arizona St,24,Washington,10
2014-10-25,Nevada,26,Hawaii,18
2014-10-25,Texas St,22,ULM,18
2014-10-25,Ohio St,31,Penn St,24
2014-10-30,Ga Southern,42,Troy,10
2014-10-30,Florida St,42,Louisville,31
2014-10-31,Memphis,40,Tulsa,20
2014-10-31,Cincinnati,38,Tulane,14
2014-11-01,Appalachian St,44,Georgia St,0
2014-11-01,Air Force,23,Army,6
2014-11-01,C Michigan,38,E Michigan,7
2014-11-01,Rice,31,Florida Intl,17
2014-11-01,UAB,31,FL Atlantic,28
2014-11-01,Florida,38,Georgia,20
2014-11-01,Georgia Tech,35,Virginia,10
2014-11-01,Miami FL,47,North Carolina,20
2014-11-01,W Michigan,41,Miami OH,10
2014-11-01,Maryland,20,Penn St,19
2014-11-01,Tennessee,45,South Carolina,42
2014-11-01,Houston,27,South Florida,3
2014-11-01,NC State,24,Syracuse,17
2014-11-01,Temple,20,East Carolina,10
2014-11-01,Boston College,33,Virginia Tech,31
2014-11-01,TCU,31,West Virginia,30
2014-11-01,Connecticut,37,UCF,29
2014-11-01,Notre Dame,49,Navy,39
2014-11-01,Wisconsin,37,Rutgers,0
2014-11-01,Duke,51,Pittsburgh,48
2014-11-01,Baylor,60,Kansas,14
2014-11-01,Iowa,48,Northwestern,7
2014-11-01,ULL,19,South Alabama,9
2014-11-01,Louisiana Tech,59,WKU,10
2014-11-01,BYU,27,MTSU,7
2014-11-01,Mississippi St,17,Arkansas,10
2014-11-01,Missouri,20,Kentucky,10
2014-11-01,Nebraska,35,Purdue,14
2014-11-01,Texas A&M,21,ULM,16
2014-11-01,Texas,34,Texas Tech,13
2014-11-01,Vanderbilt,42,Old Dominion,28
2014-11-01,Auburn,35,Mississippi,31
2014-11-01,Oklahoma,59,Iowa St,14
2014-11-01,Kansas St,48,Oklahoma St,14
2014-11-01,UTEP,35,Southern Miss,14
2014-11-01,Washington,38,Colorado,23
2014-11-01,Arizona St,19,Utah,16
2014-11-01,Wyoming,45,Fresno St,17
2014-11-01,Arkansas St,44,Idaho,28
2014-11-01,California,45,Oregon St,31
2014-11-01,UCLA,17,Arizona,7
2014-11-01,New Mexico,31,UNLV,28
2014-11-01,Oregon,45,Stanford,16
2014-11-01,USC,44,Washington St,17
2014-11-01,Michigan,34,Indiana,10
2014-11-01,Utah St,35,Hawaii,14
2014-11-01,Colorado St,38,San Jose St,31
2014-11-01,Texas St,37,New Mexico St,29
2014-11-01,Ohio St,55,Illinois,14
2014-11-01,Nevada,30,San Diego St,14
2014-11-04,Bowling Green,27,Akron,10
2014-11-04,Toledo,30,Kent,20
2014-11-05,N Illinois,35,Ball St,21
2014-11-05,Ohio,37,Buffalo,14
2014-11-06,Clemson,34,Wake Forest,20
2014-11-07,Utah St,20,Wyoming,3
2014-11-07,Memphis,16,Temple,13
2014-11-08,Appalachian St,31,ULM,29
2014-11-08,Florida St,34,Virginia,20
2014-11-08,Penn St,13,Indiana,7
2014-11-08,Georgia,63,Kentucky,31
2014-11-08,Georgia Tech,56,NC State,23
